epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.71136,1.29037,2.742,1.32867,0.00694,0.94486,0.33838,0.19745,1.25562,3.05597,1.19215,0.000362927,0.000362927,0.000362927
2,8.92269,1.08494,1.53902,1.16224,0.57771,0.54869,0.58412,0.34916,1.32149,1.84755,1.31001,0.000718741,0.000718741,0.000718741
3,13.2613,1.08252,1.2952,1.15671,0.63636,0.57446,0.60513,0.39728,1.26483,1.395,1.35328,0.00105989,0.00105989,0.00105989
4,17.4126,1.04744,1.14532,1.15163,0.77683,0.75718,0.78995,0.50805,1.24756,1.00109,1.28618,0.00104501,0.00104501,0.00104501
5,21.8997,1.02863,1.04286,1.1397,0.84626,0.71576,0.77081,0.47276,1.39882,0.94304,1.45877,0.00102301,0.00102301,0.00102301
6,26.1314,1.01588,0.95312,1.12571,0.73595,0.76942,0.80296,0.51405,1.28554,0.83739,1.33175,0.00100101,0.00100101,0.00100101
7,30.3242,0.99505,0.90283,1.12388,0.75569,0.73498,0.79018,0.51682,1.23058,0.83748,1.28015,0.000979013,0.000979013,0.000979013
8,34.4189,0.96557,0.82834,1.09939,0.83051,0.85273,0.84865,0.52938,1.30674,0.80608,1.33972,0.000957015,0.000957015,0.000957015
9,38.5274,0.96477,0.78496,1.09238,0.82955,0.88966,0.8819,0.57256,1.23622,0.7296,1.30703,0.000935018,0.000935018,0.000935018
10,42.6457,0.94697,0.74573,1.09587,0.89952,0.85648,0.93774,0.58969,1.29855,0.68379,1.32676,0.00091302,0.00091302,0.00091302
11,46.7532,0.93685,0.71747,1.09046,0.85208,0.87233,0.87307,0.5713,1.26195,0.67759,1.31226,0.000891022,0.000891022,0.000891022
12,50.8523,0.94437,0.69011,1.09544,0.92229,0.88274,0.89779,0.5814,1.25716,0.64559,1.29666,0.000869024,0.000869024,0.000869024
